大师球,大師球,必定能捉到野生宝可梦的，性能最好的球。,性能最好的球。必定能捉到野生寶可夢。,必定能捉到野生寶可夢的，性能最好的球。
感谢邮件,感謝郵件,方便写表达感谢这类邮件的信纸。使用该道具时，需要让宝可梦携带着来用。,方便寫表達感謝這類郵件的信紙。需讓寶可夢攜帶使用。,方便寫表達感謝這類郵件的信紙。使用該道具時，需要讓寶可夢攜帶著來用。
询问邮件,詢問郵件,方便写询问对方这类邮件的信纸。使用该道具时，需要让宝可梦携带着来用。,方便寫詢問對方這類郵件的信紙。需讓寶可夢攜帶使用。,方便寫詢問對方這類郵件的信紙。使用該道具時，需要讓寶可夢攜帶著來用。
推荐邮件,推薦郵件,方便写推荐内容这类邮件的信纸。使用该道具时，需要让宝可梦携带着来用。,方便寫推薦內容這類郵件的信紙。需讓寶可夢攜帶使用。,方便寫推薦內容這類郵件的信紙。使用該道具時，需要讓寶可夢攜帶著來用。
回复邮件,回覆郵件,方便写回复邮件的信纸。使用该道具时，需要让宝可梦携带着来用。,方便寫回覆郵件的信紙。需讓寶可夢攜帶使用。,方便寫回覆郵件的信紙。使用該道具時，需要讓寶可夢攜帶著來用。
桥梁邮件Ｓ,橋梁郵件Ｓ,印有通天桥图案的信纸。使用该道具时，需要让宝可梦携带着来用。,印有通天橋圖案的信紙。需讓寶可夢攜帶使用。,印有通天橋圖案的信紙。使用該道具時，需要讓寶可夢攜帶著來用。
桥梁邮件Ｈ,橋梁郵件Ｈ,印有鲜红色活动桥图案的信纸。使用该道具时，需要让宝可梦携带着来用。,印有大紅色活動橋圖案的信紙。需讓寶可夢攜帶使用。,印有鮮紅色活動橋圖案的信紙。使用該道具時，需要讓寶可夢攜帶著來用。
桥梁邮件Ｃ,橋梁郵件Ｃ,印有钢铁悬索桥图案的信纸。使用该道具时，需要让宝可梦携带着来用。,印有鋼鐵懸索橋圖案的信紙。需讓寶可夢攜帶使用。,印有鋼鐵懸索橋圖案的信紙。使用該道具時，需要讓寶可夢攜帶著來用。
桥梁邮件Ｖ,橋梁郵件Ｖ,印有砖桥图案的信纸。使用该道具时，需要让宝可梦携带着来用。,印有磚橋圖案的信紙。需讓寶可夢攜帶使用。,印有磚橋圖案的信紙。使用該道具時，需要讓寶可夢攜帶著來用。
桥梁邮件Ｗ,橋梁郵件Ｗ,印有拱桥图案的信纸。使用该道具时，需要让宝可梦携带着来用。,印有拱橋圖案的信紙。需讓寶可夢攜帶使用。,印有拱橋圖案的信紙。使用該道具時，需要讓寶可夢攜帶著來用。
樱子果,櫻子果,让宝可梦携带后，可以治愈麻痹。,讓寶可夢攜帶後，可以治癒麻痺。,讓寶可夢攜帶後，可以治癒麻痺。
零余果,零餘果,让宝可梦携带后，可以治愈睡眠。,讓寶可夢攜帶後，可以治癒睡眠。,讓寶可夢攜帶後，可以治癒睡眠。
桃桃果,桃桃果,让宝可梦携带后，可以治愈中毒。,讓寶可夢攜帶後，可以治癒中毒。,讓寶可夢攜帶後，可以治癒中毒。
莓莓果,莓莓果,让宝可梦携带后，可以治愈灼伤。,讓寶可夢攜帶後，可以治癒灼傷。,讓寶可夢攜帶後，可以治癒灼傷。
利木果,利木果,让宝可梦携带后，可以治愈冰冻。,讓寶可夢攜帶後，可以治癒冰凍。,讓寶可夢攜帶後，可以治癒冰凍。
苹野果,蘋野果,让宝可梦携带后，可以回复１０ＰＰ。,讓寶可夢攜帶後，可以回復１０ＰＰ。,讓寶可夢攜帶後，可以回復１０ＰＰ。
橙橙果,橙橙果,让宝可梦携带后，可以回复１０ＨＰ。,讓寶可夢攜帶後，可以回復１０ＨＰ。,讓寶可夢攜帶後，可以回復１０ＨＰ。
柿仔果,柿仔果,让宝可梦携带后，可以治愈混乱。,讓寶可夢攜帶後，可以治癒混亂。,讓寶可夢攜帶後，可以治癒混亂。
木子果,木子果,让宝可梦携带后，可以治愈所有异常状态。,讓寶可夢攜帶後，可以治癒所有異常狀態。,讓寶可夢攜帶後，可以治癒所有異常狀態。
文柚果,文柚果,让宝可梦携带后，可以回复少量ＨＰ。,讓寶可夢攜帶後，可以回復少量ＨＰ。,讓寶可夢攜帶後，可以回復少量ＨＰ。
勿花果,勿花果,让宝可梦携带后，危机时可以回复ＨＰ。如果讨厌这味道就会混乱。,讓寶可夢攜帶後，危機時可以回復ＨＰ。如果討厭這味道就會混亂。,讓寶可夢攜帶後，危機時可以回復ＨＰ。如果討厭這味道就會混亂。
异奇果,異奇果,让宝可梦携带后，危机时可以回复ＨＰ。如果讨厌这味道就会混乱。,讓寶可夢攜帶後，危機時可以回復ＨＰ。如果討厭這味道就會混亂。,讓寶可夢攜帶後，危機時可以回復ＨＰ。如果討厭這味道就會混亂。
芒芒果,芒芒果,让宝可梦携带后，危机时可以回复ＨＰ。如果讨厌这味道就会混乱。,讓寶可夢攜帶後，危機時可以回復ＨＰ。如果討厭這味道就會混亂。,讓寶可夢攜帶後，危機時可以回復ＨＰ。如果討厭這味道就會混亂。
乐芭果,樂芭果,让宝可梦携带后，危机时可以回复ＨＰ。如果讨厌这味道就会混乱。,讓寶可夢攜帶後，危機時可以回復ＨＰ。如果討厭這味道就會混亂。,讓寶可夢攜帶後，危機時可以回復ＨＰ。如果討厭這味道就會混亂。
芭亚果,芭亞果,让宝可梦携带后，危机时可以回复ＨＰ。如果讨厌这味道就会混乱。,讓寶可夢攜帶後，危機時可以回復ＨＰ。如果討厭這味道就會混亂。,讓寶可夢攜帶後，危機時可以回復ＨＰ。如果討厭這味道就會混亂。
蔓莓果,蔓莓果,用于制作宝可方块，制作出来的宝可方块可用来打磨帅气。红色的果实尝起来是辣的。,製作用於增進帥氣的寶可方塊時使用。紅色的果實嘗起來是辣的。,用於製作寶可方塊，製作出來的寶可方塊可用來打磨帥氣。紅色的果實嘗起來是辣的。
墨莓果,墨莓果,用于制作宝可方块，制作出来的宝可方块可用来打磨美丽。蓝色的果实尝起来是涩的。,製作用於增進美麗的寶可方塊時使用。藍色的果實嘗起來是澀的。,用於製作寶可方塊，製作出來的寶可方塊可用來打磨美麗。藍色的果實嘗起來是澀的。
蕉香果,蕉香果,用于制作宝可方块，制作出来的宝可方块可用来打磨可爱。粉红色的果实尝起来是甜的。,製作用於增進可愛的寶可方塊時使用。粉紅色的果實嘗起來是甜的。,用於製作寶可方塊，製作出來的寶可方塊可用來打磨可愛。粉紅色的果實嘗起來是甜的。
西梨果,西梨果,用于制作宝可方块，制作出来的宝可方块可用来打磨聪明。绿色的果实尝起来是苦的。,製作用於增進聰明的寶可方塊時使用。綠色的果實嘗起來是苦的。,用於製作寶可方塊，製作出來的寶可方塊可用來打磨聰明。綠色的果實嘗起來是苦的。
凰梨果,凰梨果,用于制作宝可方块，制作出来的宝可方块可用来打磨强壮。黄色的果实尝起来是酸的。,製作用於增進強壯的寶可方塊時使用。黃色的果實嘗起來是酸的。,用於製作寶可方塊，製作出來的寶可方塊可用來打磨強壯。黃色的果實嘗起來是酸的。
榴石果,榴石果,如果把它交给宝可梦，宝可梦就会变得非常容易和训练家亲密，但ＨＰ的基础点数会降低。,如果把它餵給寶可夢，寶可夢會非常容易和訓練家變得親密，但ＨＰ的基礎點數會降低。,如果把它交給寶可夢，寶可夢就會變得非常容易和訓練家親密，但ＨＰ的基礎點數會降低。
藻根果,藻根果,如果把它交给宝可梦，宝可梦就会变得非常容易和训练家亲密，但攻击的基础点数会降低。,如果把它餵給寶可夢，寶可夢會非常容易和訓練家變得親密，但攻擊的基礎點數會降低。,如果把它交給寶可夢，寶可夢就會變得非常容易和訓練家親密，但攻擊的基礎點數會降低。
比巴果,比巴果,如果把它交给宝可梦，宝可梦就会变得非常容易和训练家亲密，但防御的基础点数会降低。,如果把它餵給寶可夢，寶可夢會非常容易和訓練家變得親密，但防禦的基礎點數會降低。,如果把它交給寶可夢，寶可夢就會變得非常容易和訓練家親密，但防禦的基礎點數會降低。
哈密果,哈密果,如果把它交给宝可梦，宝可梦就会变得非常容易和训练家亲密，但特攻的基础点数会降低。,如果把它餵給寶可夢，寶可夢會非常容易和訓練家變得親密，但特攻的基礎點數會降低。,如果把它交給寶可夢，寶可夢就會變得非常容易和訓練家親密，但特攻的基礎點數會降低。
萄葡果,萄葡果,如果把它交给宝可梦，宝可梦就会变得非常容易和训练家亲密，但特防的基础点数会降低。,如果把它餵給寶可夢，寶可夢會非常容易和訓練家變得親密，但特防的基礎點數會降低。,如果把它交給寶可夢，寶可夢就會變得非常容易和訓練家親密，但特防的基礎點數會降低。
茄番果,茄番果,如果把它交给宝可梦，宝可梦就会变得非常容易和训练家亲密，但速度的基础点数会降低。,如果把它餵給寶可夢，寶可夢會非常容易和訓練家變得親密，但速度的基礎點數會降低。,如果把它交給寶可夢，寶可夢就會變得非常容易和訓練家親密，但速度的基礎點數會降低。
玉黍果,玉黍果,用于制作宝可方块，制作出来的宝可方块可用来打磨美丽。在其他地区很少见的树果。,製作用於增進美麗的寶可方塊時使用。在其他地區很少見的樹果。,用於製作寶可方塊，製作出來的寶可方塊可用來打磨美麗。在其他地區很少見的樹果。
岳竹果,岳竹果,用于制作宝可方块，制作出来的宝可方块可用来打磨可爱。在其他地区很少见的树果。,製作用於增進可愛的寶可方塊時使用。在其他地區很少見的樹果。,用於製作寶可方塊，製作出來的寶可方塊可用來打磨可愛。在其他地區很少見的樹果。
茸丹果,茸丹果,用于制作宝可方块，制作出来的宝可方块可用来打磨聪明。在其他地区很少见的树果。,製作用於增進聰明的寶可方塊時使用。在其他地區很少見的樹果。,用於製作寶可方塊，製作出來的寶可方塊可用來打磨聰明。在其他地區很少見的樹果。
檬柠果,檬檸果,用于制作宝可方块，制作出来的宝可方块可用来打磨强壮。在其他地区很少见的树果。,製作用於增進強壯的寶可方塊時使用。在其他地區很少見的樹果。,用於製作寶可方塊，製作出來的寶可方塊可用來打磨強壯。在其他地區很少見的樹果。
刺角果,刺角果,用于制作宝可方块，制作出来的宝可方块可用来打磨可爱。在其他地区很少见的树果。,製作用於增進可愛的寶可方塊時使用。在其他地區很少見的樹果。,用於製作寶可方塊，製作出來的寶可方塊可用來打磨可愛。在其他地區很少見的樹果。
椰木果,椰木果,用于制作宝可方块，制作出来的宝可方块可用来打磨美丽。在其他地区很少见的树果。,製作用於增進美麗的寶可方塊時使用。在其他地區很少見的樹果。,用於製作寶可方塊，製作出來的寶可方塊可用來打磨美麗。在其他地區很少見的樹果。
瓜西果,瓜西果,用于制作宝可方块，制作出来的宝可方块可用来打磨聪明。在其他地区很少见的树果。,製作用於增進聰明的寶可方塊時使用。在其他地區很少見的樹果。,用於製作寶可方塊，製作出來的寶可方塊可用來打磨聰明。在其他地區很少見的樹果。
金枕果,金枕果,用于制作宝可方块，制作出来的宝可方块可用来打磨聪明。在其他地区很少见的树果。,製作用於增進聰明的寶可方塊時使用。在其他地區很少見的樹果。,用於製作寶可方塊，製作出來的寶可方塊可用來打磨聰明。在其他地區很少見的樹果。
靛莓果,靛莓果,用于制作宝可方块，制作出来的宝可方块可用来打磨美丽。在其他地区很少见的树果。,製作用於增進美麗的寶可方塊時使用。在其他地區很少見的樹果。,用於製作寶可方塊，製作出來的寶可方塊可用來打磨美麗。在其他地區很少見的樹果。
巧可果,巧可果,让宝可梦携带后，在受到效果绝佳的火属性招式攻击时，能令其威力减弱。,讓寶可夢攜帶後，在受到效果絕佳的火屬性招式攻擊時，能使其威力減弱。,讓寶可夢攜帶後，在受到效果絕佳的火屬性招式攻擊時，能令其威力減弱。
千香果,千香果,让宝可梦携带后，在受到效果绝佳的水属性招式攻击时，能令其威力减弱。,讓寶可夢攜帶後，在受到效果絕佳的水屬性招式攻擊時，能使其威力減弱。,讓寶可夢攜帶後，在受到效果絕佳的水屬性招式攻擊時，能令其威力減弱。
烛木果,燭木果,让宝可梦携带后，在受到效果绝佳的电属性招式攻击时，能令其威力减弱。,讓寶可夢攜帶後，在受到效果絕佳的電屬性招式攻擊時，能使其威力減弱。,讓寶可夢攜帶後，在受到效果絕佳的電屬性招式攻擊時，能令其威力減弱。
